iter	Passed	Remaining
869	2146	320
870	2148	318
871	2149	315
872	2151	312
873	2152	310
874	2154	307
875	2155	305
876	2156	302
877	2158	299
878	2159	297
879	2160	294
880	2162	292
881	2163	289
882	2166	287
883	2167	284
884	2169	281
885	2170	279
886	2171	276
887	2173	274
888	2174	271
889	2175	268
890	2177	266
891	2178	263
892	2181	261
893	2182	258
894	2184	256
895	2186	253
896	2187	251
897	2188	248
898	2190	246
899	2191	243
900	2193	240
901	2195	238
902	2197	236
903	2198	233
904	2200	230
905	2201	228
906	2203	225
907	2204	223
908	2206	220
909	2207	218
910	2211	216
911	2212	213
912	2214	210
913	2215	208
914	2216	205
915	2218	203
916	2219	200
917	2221	198
918	2222	195
919	2223	193
920	2225	190
921	2227	188
922	2228	185
923	2230	183
924	2231	180
925	2233	178
926	2235	176
927	2237	173
928	2240	171
929	2242	168
930	2243	166
931	2245	163
932	2246	161
933	2248	158
934	2249	156
935	2250	153
936	2252	151
937	2255	149
938	2256	146
939	2258	144
940	2259	141
941	2260	139
942	2262	136
943	2263	134
944	2265	131
945	2266	129
946	2269	127
947	2271	124
948	2272	122
949	2274	119
950	2275	117
951	2277	114
952	2279	112
953	2280	109
954	2282	107
955	2284	105
956	2285	102
957	2286	100
958	2288	97
959	2289	95
960	2291	92
961	2292	90
962	2294	88
963	2295	85
964	2298	83
965	2300	80
966	2301	78
967	2303	76
968	2304	73
969	2306	71
970	2307	68
971	2309	66
972	2353	65
973	2356	62
974	2358	60
975	2360	58
976	2364	55
977	2366	53
978	2369	50
979	2371	48
980	2373	45
981	2375	43
982	2379	41
983	2381	38
984	2383	36
985	2387	33
986	2390	31
987	2392	29
988	2394	26
989	2410	24
990	2411	21
991	2413	19
992	2414	17
993	2416	14
994	2418	12
995	2420	9
996	2422	7
997	2424	4
998	2426	2
999	2427	0
